INSTNM,STABBR
Everest College-McLean,VA
Colegio Tecnico de Electricidad Galloza,PR
Empire Beauty School-St Paul,MN
Arthur's Beauty School Inc-Pine Bluff,AR
Arthur's Beauty School Inc-Conway,AR
Vatterott College-St Charles,MO
Anthem Institute-North Brunswick,NJ
Anthem Career College-Memphis,TN
Anthem College-Kansas City,MO
Spa Tech Institute-Ipswich,MA
Spa Tech Institute-Westboro,MA
Spa Tech Institute-Plymouth,MA
Milan Institute of Cosmetology-San Antonio Walzem,TX
Bridgemont Community and Technical College,WV
Wards Corner Beauty Academy-Virginia Beach,VA
Neumont University,UT
Johnson & Wales University-Charlotte,NC
University of Phoenix-Central Valley Campus,CA
L'Ecole Culinaire-St Louis,MO
Roseman University of Health Sciences,NV
Fortis Institute-Port Saint Lucie,FL
Fortis Institute-Miami,FL
Aviation Institute of Maintenance-Manassas,VA
Everest College-North Aurora,IL
Cosmetology School of Arts and Sciences,ID
Universal Technical Institute of Pennsylvania Inc,PA
Heritage College-Kansas City,MO
Kenneth Shuler School of Cosmetology-Spartanburg,SC
Kenneth Shuler School of Cosmetology-Columbia,SC
Institute for the Psychological Sciences,VA
Pivot Point Academy-Chicago,IL
Lincoln Technical Institute-Shelton,CT
Minnesota School of Business-Waite Park,MN
Minnesota School of Business-Shakopee,MN
Northwest Career College,NV
Soma Institute-The National School of Clinical Massage Therapy,IL
Xtreme Career Institute,PR
Marinello Schools of Beauty-Niantic,CT
American Academy of Acupuncture and Oriental Medicine,MN
Arizona School of Acupuncture and Oriental Medicine,AZ
Ave Maria University,FL
Blue Sky School of Professional Massage and Therapeutic Bodywork,WI
Buchanan Beauty College,TN
CALC Institute of Technology,IL
Cambridge Junior College-Yuba City,CA
Cambridge Institute of Allied Health & Technology,FL
Career Care Institute,CA
ATA Career Education,FL
Career Quest Learning Centers-Lansing,MI
Central State Massage Academy,OK
Community Christian College,CA
Crossett School of Cosmetology,AR
Culpeper Cosmetology Training Center,VA
Day Spa Career College,MS
Eastern School of Acupuncture and Traditional Medicine,NJ
Ecclesia College,AR
Employment Solutions-College for Technical Education,KY
European Massage Therapy School-Skokie,IL
Evergreen Beauty and Barber College-Everett,WA
Paul Mitchell the School-Great Lakes,MI
Healthcare Training Institute,NJ
John D Rockefeller IV Career Center,WV
Ladera Career Paths Training Centers,CA
Los Angeles Music Academy,CA
Maple Springs Baptist Bible College and Seminary,MD
MCI Institute of Technology,FL
Oregon Career & Technology Center,OH
Performance Training Institute,NJ
Pacific Coast Trade School,CA
Centura Institute,FL
Precision Manufacturing Institute,PA
Professional Massage Training Center,MO
Regency School of Hair Design,KY
Renaissance College-Massage Program,UT
Rosslyn Training Academy of Cosmetology,PR
SAE Institute of Technology-Nashville,TN
eClips School of Cosmetology and Barbering,MO
Shear Academy,TN
Southern Technical College,FL
Stanbridge College,CA
Styletrends Barber and Hairstyling Academy,SC
Universal Career School,FL
Universal College of Healing Arts,NE
Uta Mesivta of Kiryas Joel,NY
W L Bonner College,SC
Harrisburg University of Science and Technology,PA
The Art Institute of Ohio-Cincinnati,OH
Stevens-Henager College-Logan,UT
University of Phoenix-Cheyenne Campus,WY
University of Phoenix-Springfield  Campus,MO
University of Phoenix-Des Moines Campus,IA
University of Phoenix-San Antonio Campus,TX
University of Phoenix-Austin Campus,TX
University of Phoenix-Richmond-Virginia Beach Campus,VA
University of Phoenix-Raleigh Campus,NC
Blue Ridge Community and Technical College,WV
Lincoln Technical Institute-Suffield,CT
International Academy of Design and Technology-Henderson,NV
International Academy of Design and Technology-Seattle,WA
International Academy of Design and Technology-Nashville,TN
Le Cordon Bleu College of Culinary Arts-Miami,FL
Le Cordon Bleu College of Culinary Arts-Minneapolis,MN
Anthem College-Portland,OR
Career Technical College-Shreveport,LA
ITT Technical Institute-Kansas City,MO
ITT Technical Institute-Kennesaw,GA
ITT Technical Institute-Owings Mills,MD
ITT Technical Institute-Warrensville Heights,OH
Union Graduate College,NY
Colorado State University-System Office,CO
Chambersburg Beauty School,PA
Daytona College,FL
Delta Technical College,MS
United States University,CA
Westwood College-Arlington Ballston,VA
Kaplan College-Bakersfield,CA
Kaplan College-Fresno,CA
Empire Beauty School-Avondale,AZ
Empire Beauty School-North Tucson,AZ
Empire Beauty School-Littleton,CO
Empire Beauty School-Aurora,CO
Everest Institute-Gahanna,OH
Everest College-Merrionette Park,IL
Everest College-Earth City,MO
Everest College-Mesa,AZ
Everest Institute-Silver Spring,MD
Alvareitas College of Cosmetology-Belleville,IL
AmeriTech College-Draper,UT
Argosy University-Los Angeles,CA
Brown Mackie College-Miami,FL
Regency Beauty Institute-Darien,IL
Regency Beauty Institute-Aurora,IL
Regency Beauty Institute-Madison,WI
Regency Beauty Institute-Ridgedale,MN
San Joaquin Valley College-Modesto,CA
Fortis College-Largo,FL
Platt College-Moore,OK
Platt College-Dallas,TX
Universal Technical Institute of Massachusetts Inc,MA
Eagle Gate College-Layton,UT
Carsten Institute of Cosmetology,NY
Academy of Hair Design-Jasper,TX
Expression College for Digital Arts,CA
Unitech Training Academy-West Monroe,LA
Daymar College-Bellevue,KY
DeVry University-Oklahoma,OK
Salter School-Fall River,MA
Seacoast Career School-Manchester Campus,NH
Instituto de Educacion Tecnica Ocupacional La Reine-Aguadilla,PR
New River Community and Technical College,WV
The College of Health Care Professions-Southwest Houston,TX
Eagle Gate College-Salt Lake City,UT
Kaplan College-Palm Springs,CA
University of Phoenix-Savannah Campus,GA
University of Phoenix-Northern Nevada Campus,NV
Minnesota School of Business-Rochester,MN
Georgia Gwinnett College,GA
Phoenix Institute of Herbal Medicine & Acupuncture,AZ
Tucson College of Beauty,AZ
California Career College,CA
Palladium Technical Academy,CA
Palace Beauty College,CA
National Polytechnic College,CA
American Career College-Ontario,CA
Asher College,CA
American Institute of Massage Therapy,CA
University of East-West Medicine,CA
Blake Austin College,CA
Mojave Barber College,CA
Aviator College of Aeronautical Science and Technology,FL
Total International Career Institute,FL
Trendsetters School of Beauty & Barbering,FL
CDA Technical Institute,FL
American Institute of Beauty,FL
North Florida Cosmetology Institute Inc,FL
Florida Academy of Health & Beauty,FL
Augusta School of Massage,GA
ATA College,KY
SUM Bible College and Theological Seminary,CA
Compass Career College,LA
Hair Expressions Academy,MD
Nuvo College of Cosmetology,MI
WellSpring School of Allied Health-Kansas City,MO
Hair Academy 110,MO
Healing Touch Career College,MS
The Salon Professional Academy-Fargo,ND
Massage Therapy Trainining Institute,NM
Institute of Professional Careers,NV
Elite Academy of Beauty Arts,NY
Aveda Institute-New York,NY
Brookline College-Oklahoma City,OK
Northwest Regional Technology Institute,PA
National Massage Therapy Institute,PA
MyrAngel Beauty Institute,PR
Institute of Hair Design,TN
Tennessee Career Institute,TN
Texas Health School,TX
Mai-trix Beauty College,TX
North West Beauty School,TX
Maximum Style Tec School of Cosmetology,UT
Careers Unlimited,UT
Mountainland Applied Technology College,UT
Avi Career Training,VA
Yakima Beauty School,WA
Mountain State School of Massage,WV
Doane College-Lincoln Grand Island and Master,NE
Shorter University-College of Adult & Professional Programs,GA
Arkansas State University-System Office,AR
The Art Institute of Indianapolis,IN
Eastern International College-Belleville,NJ
San Joaquin Valley College-Rancho Cordova,CA
San Joaquin Valley College-Central Administrative Office,CA
Illinois School of Health Careers-O'Hare Campus,IL
MedTech College,IN
Broken Arrow Beauty College-Tulsa,OK
Universal Technical Institute of Northern California Inc,CA
ITT Technical Institute-Charlotte South,NC
ITT Technical Institute-Clovis,CA
ITT Technical Institute-Dunmore,PA
ITT Technical Institute-Swartz Creek,MI
ITT Technical Institute-Lexington,KY
ITT Technical Institute-Maumee,OH
ITT Technical Institute-Oklahoma City,OK
ITT Technical Institute-Tulsa,OK
University of Phoenix-Omaha Campus,NE
University of Phoenix-Northwest Arkansas Campus,AR
University of Phoenix-Madison Campus,WI
University of Phoenix-Columbia Campus,SC
The Art Institute of California-Argosy University Inland Empire,CA
National American University-Zona Rosa,MO
West Hills College-Lemoore,CA
Stautzenberger College-Brecksville,OH
Stone Academy-East Hartford,CT
Westwood College-Annandale,VA
West Hills Community College District,CA
Unitech Training Academy-Houma,LA
Kaplan College-Milwaukee,WI
Miller-Motte Technical College-Madison,TN
Rasmussen College-Illinois,IL
International Institute for Restorative Practices,PA
Educational Technical College-Recinto de Coamo,PR
Educational Technical College-Recinto de san Sebastian,PR
Argosy University-Denver,CO
College America-Colorado Springs,CO
College America-Fort Collins,CO
Automotive Training Center-Warminster,PA
Sanford-Brown College-West Allis,WI
Empire Beauty School-Milwaukee,WI
The Robert B Miller College,MI
University of Phoenix-Fairfield County Campus,CT
University of Phoenix-Harrisburg Campus,PA
University of South Florida-St Petersburg,FL
Triangle Tech Inc-Bethlehem,PA
DeVry University-Utah,UT
Arizona State University-Downtown Phoenix,AZ
Milan Institute-Clovis,CA
Branford Hall Career Institute-Albany Campus,NY
Harris School of Business-Linwood Campus,NJ
The Art Institute of Tennessee-Nashville,TN
Strayer University-Florida,FL
Pima Medical Institute-Renton,WA
College of Business and Technology-Flagler,FL
College of Business and Technology-Hialeah,FL
Miller-Motte College-Cary,NC
Miami-Jacobs Career College-Springboro,OH
Dewey University-Juana D’az,PR
Dewey University-Fajardo,PR
Dewey University-Arroyo,PR
Regency Beauty Institute-Independence,MO
Regency Beauty Institute-St Peters,MO
Regency Beauty Institute-Peoria,IL
Regency Beauty Institute-Greenwood,IN
Regency Beauty Institute-Mehlville,MO
Regency Beauty Institute-Duluth,MN
Regency Beauty Institute-Fairview Heights,IL
Regency Beauty Institute-Champaign,IL
Regency Beauty Institute-Olathe,KS
The College of Health Care Professions-San Antonio,TX
Everest Institute-South Plainfield,NJ
Kaplan Career Institute-Detroit,MI
Daymar College-Madisonville,KY
Brittany Beauty School,NY
Lincoln Technical Institute-Whitestone,NY
American Public University System,WV
Huntsville Bible College,AL
Beaumont Adult School,CA
Make-up Designory,CA
Video Symphony EnterTraining Inc,CA
Gnomon School of Visual Effects,CA
Coachella Valley Beauty College,CA
Career College of California,CA
Valley College of Medical Careers,CA
Academy of Natural Therapy Inc,CO
Academy Di Capelli-School of Cosmetology,CT
Delaware Learning Institute of Cosmetology,DE
Dragon Rises College of Oriental Medicine,FL
Palm Beach Academy of Health & Beauty,FL
SABER College,FL
Taylor College,FL
Pensacola School of Massage Therapy & Health Careers,FL
Hawaii College of Oriental Medicine,HI
Ideal Beauty Academy,IN
Success Schools,IN
Louisiana Culinary Institute,LA
Bais Medrash Toras Chesed,NJ
Center for Natural Wellness School of Massage Therapy,NY
Ace Computer Training Center,NY
New Age Training,NY
Dayton School of Medical Massage,OH
Northcoast Medical Training Academy,OH
American Institute of Medical Technology,OK
Carib Technological Institute,PR
Visible Music College,TN
CCI Training Center-Arlington,TX
Champion Beauty College,TX
Professional Careers Institute,TX
Southeast Texas Career Institute,TX
Southwest Applied Technology Center,UT
Academy of Cosmetology,WI
Milwaukee Career College,WI
University of the West,CA
American College of Education,IN
South University-Tampa,FL
Milan Institute of Cosmetology-San Antonio Military,TX
Appalachian College of Pharmacy,VA
Averett University-Non-Traditional Programs,VA
Paul Mitchell the School-Tampa,FL
Paul Mitchell the School-San Diego,CA
Paul Mitchell the School-Michigan,MI
Paul Mitchell the School-Sherman Oaks,CA
Paul Mitchell the School-Mclean,VA
Miami-Jacobs Career College-Troy,OH
ATI College-Santa Ana,CA
Blue Cliff College-Houma,LA
The Art Institute of Salt Lake City,UT
Fortis College-Columbus,OH
Fortis College-Cincinnati,OH
Fortis Institute-Baltimore,MD
The Art Institute of Charleston,SC
The Art Institute of California-Argosy University Sacramento,CA
Blue Cliff College-Fayetteville,AR
Blue Cliff College-Alexandria,LA
StenoTech Career Institute-Piscataway,NJ
Anthem College-Brookfield,WI
Ultimate Medical Academy-Tampa,FL
Beauty Schools of America-North Miami Beach,FL
Virginia College-Biloxi,MS
ITT Technical Institute-St Petersburg,FL
ITT Technical Institute-Baton Rouge,LA
ITT Technical Institute-Columbia,SC
ITT Technical Institute-Wichita,KS
ITT Technical Institute-Atlanta,GA
ITT Technical Institute-Mobile,AL
ITT Technical Institute-Chattanooga,TN
ITT Technical Institute-South Bend,IN
Virginia College-School of Business and Health-Chattanooga,TN
Strayer University-Delaware,DE
Brite Divinity School,TX
Strayer University-Alabama,AL
Brown Aveda Institute-Rocky River,OH
Clary Sage College,OK
Broadview University-Layton,UT
International Academy of Design and Technology-Sacramento,CA
University of Phoenix-Birmingham Campus,AL
International Academy of Design and Technology-San Antonio,TX
University of Phoenix-Augusta Campus,GA
University of Phoenix-Washington DC Campus,DC
University of Phoenix-Chattanooga Campus,TN
DeVry University-Michigan,MI
DeVry University-Tennessee,TN
Argosy University-Inland Empire,CA
Argosy University-Nashville,TN
Argosy University-San Diego,CA
Rasmussen College-Wisconsin,WI
Empire Beauty School-Lisle,IL
Empire Beauty School-Richmond,VA
Empire Beauty School-North Hills,PA
Empire Beauty School-Concord,NC
Empire Beauty School-Arlington Heights,IL
Lexington Healing Arts Academy,KY
Empire Beauty School-Hooksett,NH
The Institute of Beauty and Wellness,WI
InterCoast Colleges-Carson,CA
InterCoast Career Institute-South Portland,ME
Carrington College California-Stockton,CA
Carrington College California-Citrus Heights,CA
Euphoria Institute of Beauty Arts & Sciences-Summerlin,NV
Euphoria Institute of Beauty Arts & Sciences-Green Valley,NV
Empire Beauty School-Portsmouth,NH
LIU Riverhead,NY
Newbridge College-Long Beach,CA
Regency Beauty Institute-Lakewood,CO
Regency Beauty Institute-Westminster,CO
Regency Beauty Institute-Avon,IN
Regency Beauty Institute-Joliet,IL
Regency Beauty Institute-Rockford,IL
Regency Beauty Institute-Greenfield,WI
Regency Beauty Institute-Metro Center,AZ
Regency Beauty Institute-East Tucson,AZ
Regency Beauty Institute-Tri-County,OH
Regency Beauty Institute-Eastgate,OH
Regency Beauty Institute-Topeka,KS
Columbia Southern University,AL
Arizona Summit Law School,AZ
Arizona Culinary Institute,AZ
InfoTech Career College,CA
Trident University International,CA
Coastline Beauty College,CA
Career College Consultants,CA
San Diego College,CA
Montessori Casa International,CO
Branford Academy of Hair and Cosmetology,CT
Academy of Massage and Bodywork,DE
Digital Media Arts College,FL
Academy for Five Element Acupuncture,FL
Academy of Career Training,FL
Management Resources Institute,FL
Paul Mitchell the School-Miami,FL
Wolford College,FL
Aveda Institute-South Florida,FL
Aveda Institute-Tallahassee,FL
Shear Excellence Hair Academy,FL
Carlson College of Massage Therapy,IA
Bio-Chi Institute of Massage Therapy,IA
SOLEX Medical Academy,IL
MyComputerCareer.com-Indianapolis,IN
Z Hair Academy,KS
DiGrigoli School of Cosmetology,MA
Millennium Training Institute,MA
Gallery College of Beauty,MI
Lakewood School of Therapeutic Massage,MI
The Salon Spa Academy,MI
Trend Setters School of Cosmetology,MO
Academy of Hair Design-Springfield,MO
Corinth Academy of Cosmetology,MS
Southeastern Institute-Charlotte,NC
Gentle Healing School of Massage,NJ
Yeshivas Be'er Yitzchok,NJ
Yeshiva Toras Chaim,NJ
Talmudical Seminary of Bobov,NY
New York Methodist Hospital Center for Allied Health Education,NY
Institute of Allied Medical Professions-New York,NY
Micropower Career Institute,NY
Monroe 2 Orleans BOCES-Center for Workforce Development,NY
Aveda Fredric's Institute-Cincinnati,OH
MyComputerCareer.com-TechSkills,OH
CDE Career Institute,PA
Instituto Educativo Premier,PR
Charleston School of Law,SC
Elite College of Cosmetology,TN
Memphis Institute of Barbering,TN
Manuel and Theresa's School of Hair Design-Bryan,TX
Southwest University at El Paso,TX
Paul Mitchell the School-Austin,TX
Aveda Institute-Provo,UT
Dixie Applied Technology College,UT
Centura College-Alexandria,VA
Southeast Culinary & Hospitality College,VA
Dominion School of Hair Design,VA
Victoria's Academy of Cosmetology,WA
Inland Massage Institute,WA
Sunnyside Beauty Academy,WA
Wisconsin Academy,WI
The Art Institute of Pittsburgh-Online Division,PA
University of South Florida-Sarasota-Manatee,FL
Brown Mackie College-Indianapolis,IN
College America-Cheyenne,WY
Paul Mitchell the School-San Antonio,TX
Centro de Estudios Multidisciplinarios-Bayamon,PR
Bryant & Stratton College-Wauwatosa,WI
Minnesota School of Business-Blaine,MN
The Art Institute of Michigan,MI
Lacy Cosmetology School-Lexington,SC
Lacy Cosmetology School-Goose Creek,SC
The Art Institute of Austin,TX
The Art Institute of California-Argosy University-Silicon Valley,CA
Remington College-Houston Southeast Campus,TX
Remington College-Shreveport Campus,LA
National American University-Austin,TX
National American University-Wichita,KS
Lawton Career Institute-Warren Main Campus,MI
Fortis College-Landover,MD
Jenny Lea Academy of Cosmetology and Aesthetics,TN
ITT Technical Institute-Cary,NC
ITT Technical Institute-Madison,AL
ITT Technical Institute-Clive,IA
ITT Technical Institute-Columbus,OH
ITT Technical Institute-Phoenix,AZ
ITT Technical Institute-Madison,WI
ITT Technical Institute-High Point,NC
The Hair Academy,ND
The Art Institutes International_Kansas City,KS
The Art Institute of Raleigh-Durham,NC
Le Cordon Bleu College of Culinary Arts-Sacramento,CA
Le Cordon Bleu College of Culinary Arts-Seattle,WA
Le Cordon Bleu College of Culinary Arts-Cambridge,MA
Le Cordon Bleu College of Culinary Arts-Dallas,TX
Ross Medical Education Center-New Baltimore,MI
Ross College-Sylvania,OH
Argosy University-Salt Lake City,UT
Escuela De Troqueleria Y Herramentaje,PR
Virginia College-Montgomery,AL
Fortis Institute-Nashville,TN
Beckfield College-Tri-County,OH
Community Technology Learning Center of Portage,OH
David-Curtis School of Floral Design,OH
Dental Assistant Pro LLC-Columbus,OH
Dental Assistant Pro-Lebanon,OH
Iverson Institute,GA
Galen College of Nursing-Cincinnati,OH
Harmony Path School of Massage Therapy,OH
Institute of Therapeutic Massage,OH
Pinnacle Career Institute-North Kansas City,MO
Strayer University-Kentucky,KY
Strayer University-North Carolina,NC
Strayer University-New Jersey,NJ
International Culinary Arts and Sciences Institute,OH
Kaplan College-Cincinnati,OH
National College-Dayton,OH
National College-Youngstown,OH
National College-Cincinnati,OH
National College-Stow,OH
Harris School of Business-Hamilton Campus,NJ
Empire Beauty School-Eden Prairie,MN
Ohio Business College-Hilliard,OH
Ohio Center for Broadcasting-Columbus,OH
Ohio Medical Career Center,OH
Ohio Technical College-PowerSport Institute,OH
Reflexology Certification Institute,OH
Toledo Restaurant Training Center,OH
Dade Medical College-Miami Lakes,FL
The KingÕs College,NY
DeVry University-Kentucky,KY
Chamberlain College of Nursing-Administrative Office,IL
Chamberlain College of Nursing-Illinois,IL
Chamberlain College of Nursing-Ohio,OH
Chamberlain College of Nursing-Arizona,AZ
Career Quest Learning Centers-Jackson,MI
Regency Beauty Institute-Fort Collins,CO
Regency Beauty Institute-Tolleson,AZ
Regency Beauty Institute-Pasadena,TX
Regency Beauty Institute-Dayton,OH
Regency Beauty Institute-Akron,OH
Regency Beauty Institute-Detroit Southgate,MI
Regency Beauty Institute-Flint,MI
Regency Beauty Institute-Grand Rapids,MI
Regency Beauty Institute-Cypresswood,TX
Bryan University,AR
Regency Beauty Institute-Austin,TX
Regency Beauty Institute-Mesa,AZ
Regency Beauty Institute-Nashville,TN
Regency Beauty Institute-Charlotte,NC
Regency Beauty Institute-North Olmsted,OH
Regency Beauty Institute-Columbus,OH
Regency Beauty Institute-Elgin,IL
The Salon Professional Academy-Appleton,WI
Milan Institute of Cosmetology-Fairfield,CA
Milan Institute of Cosmetology-Reno,NV
Milan Institute of Cosmetology-Visalia,CA
Ottawa University-Online,KS
Broadview University-Orem,UT
Paul Mitchell the School-Esani,GA
Institute of Production and Recording,MN
Virginia College-Greenville,SC
Paul Mitchell the School-Birmingham,AL
Taft University System,CA
Mayfield College,CA
International Polytechnic Institute,CA
Academy of Esthetics and Cosmetology,CA
BioHealth College,CA
International Professional School of Bodywork,CA
Borner's Barber College,CA
Paul Mitchell the School-Pasadena,CA
San Francisco Institute of Esthetics and Cosmetology,CA
Laurus College,CA
Healing Hands School of Holistic Health,CA
Career Development Institute,CA
Auguste Escoffier School of Culinary Arts-Boulder,CO
Aspen University,CO
Institute of Taoist Education and Acupuncture,CO
National Beauty College,CO
Denver School of Nursing,CO
Cambridge Institute of Health & Technology,FL
Cozmo The School,FL
Allied Health Institute,FL
North Florida Academy,FL
Professional Hands Institute,FL
Celebrity School of Beauty,FL
Paul Mitchell the School-Atlanta,GA
Evans Hairstyling College-Rexburg,ID
Hair Academy Paul Mitchell Partner School,ID
University of Aesthetics-Chicago,IL
University of Aesthetics-Downers Grove,IL
Tricoci University of Beauty Culture-Chicago,IL
Tricoci University of Beauty Culture-Glendale Heights,IL
Tricoci University of Beauty Culture-Peoria,IL
Tricoci University of Beauty Culture-Rockford,IL
Frederick School of Cosmetology,MD
Omega Studios' School of Applied Recording Arts & Sciences,MD
Focus-Hope Information Technologies Center,MI
International Cosmetology Academy,MI
French Academy of Cosmetology,MI
Healing Arts Center,MO
Paul Mitchell the School-Springfield,MO
Urshan Graduate School of Theology,MO
Mississippi Institute of Aesthetics Nails & Cosmetology,MS
College of Western Idaho,ID
Aveda Institute-Chapel Hill,NC
Charlotte School of Law,NC
Daoist Traditions College of Chinese Medical Arts,NC
Total Image Beauty Academy,NJ
Jersey College,NJ
American Institute of Medical Sciences & Education,NJ
Casal Institute of Nevada,NV
Career School of NY,NY
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,NY
Ann Marie's World of Beauty School,NY
Yeshiva of Machzikai Hadas,NY
Aveda Institute-Columbus,OH
Paul Mitchell the School-Cincinnati,OH
Cutter's Edge School of Cosmetology,OK
Hands on Therapy,TX
MediaTech Institute-Dallas,TX
PCCenter,TX
Aveda Institute-San Antonio,TX
Skin Institute,UT
Skin Science Institute,UT
Global Health College,VA
Pacific Northwest University of Health Sciences,WA
Visions in Hair Design Institute of Cosmetology,WI
Brensten Education,WI
The Chicago School of Professional Psychology at Irvine,CA
California InterContinental University,CA
Fortis College-Dothan,AL
Fortis Institute-Pensacola,FL
Fortis College-Montgomery,AL
Fortis College School of Cosmetology,AL
Woodland Community College,CA
Dorsey Business Schools-Farmington Hills,MI
Dorsey Business Schools-Roseville Culinary Academy,MI
Vatterott College-Appling Farms,TN
Minnesota School of Business-Moorhead,MN
Brown Mackie College-Boise,ID
Brown Mackie College-Tulsa,OK
Fortis Institute-Birmingham,AL
Daymar College-Scottsville,KY
Miller-Motte College-Greenville,NC
The Chicago School of Professional Psychology at Los Angeles,CA
Metro Business College-Arnold,MO
The Chicago School of Professional Psychology at Westwood,CA
Cardiac and Vascular Institute of Ultrasound,AL
Virginia College-Jacksonville,FL
Studio Academy of Beauty,AZ
California Nurses Educational Institute,CA
Central Nursing College,CA
RWM Fiber Optics,CA
Paul Mitchell the School-Sacramento,CA
Providence Christian College,CA
Summit Salon & Beauty School,CO
Oxford Academy of Hair Design,CT
Institute of World Politics,DC
Pontifical John Paul II Institute for Studies on Marriage and Family,DC
Medical Institute of Palm Beach,FL
Lake Lanier School of Massage,GA
Oliver Finley Academy of Cosmetology,ID
National Career College,CA
Aveda Institute-Chicago,IL
Tricoci University of Beauty Culture-Libertyville,IL
Tricoci University of Beauty Culture-Bridgeview,IL
The Temple-A Paul Mitchell Partner School,MD
Center for Massage & Natural Health,NC
Academy of Hair Design-Oklahoma City,OK
Education and Technology Institute,PA
Pulse Beauty Academy-A Paul Mitchell Partner School,PA
Liberty Technical College,PR
Toni & Guy Hairdressing Academy-Cranston,RI
South Texas Training Center,TX
Columbia College,VA
Vermont College of Fine Arts,VT
Advanced Welding Institute,VT
The Art Institute of Washington-Dulles,VA
Paul Mitchell the School-Memphis,TN
Pima Medical Institute-East Valley,AZ
Virginia College-Charleston,SC
The Ohio Academy Paul Mitchell Partner School-Cleveland,OH
The Ohio Academy Paul Mitchell Partner School-Columbus,OH
Georgia Beauty Academy,GA
Stautzenberger Institute-Allen Park,MI
Empire Beauty School-Lauderhill,FL
Empire Beauty School-Spring Lake Park,MN
MediaTech Institute-Austin,TX
MediaTech Institute-Houston,TX
Fortis College-Phoenix,AZ
Miller-Motte College-Raleigh,NC
Lamson Institute,TX
Euphoria Institute of Beauty Arts & Sciences-Las Vegas,NV
Lincoln College of Technology-Toledo,OH
College of Hair Design-East Campus,NE
International Academy of Design and Technology-Online,FL
Le Cordon Bleu College of Culinary Arts-St Louis,MO
Sanford-Brown College-San Antonio,TX
Heritage College-Wichita,KS
Heritage College-Little Rock,AR
Argosy University-Phoenix Online Division,AZ
MedTech College-Greenwood Campus,IN
MedTech College-Ft Wayne Campus,IN
MedTech College-Lexington Campus,KY
ITT Technical Institute-Madison,MS
ITT Technical Institute-Springfield,MO
ITT Technical Institute-Huntington,WV
ITT Technical Institute-Concord,CA
ITT Technical Institute-Fort Myers,FL
ITT Technical Institute-Charlotte North,NC
Fortis College-Salt Lake City,UT
Polytechnic University of Puerto Rico-Miami,FL
Polytechnic University of Puerto Rico-Orlando,FL
Ross Medical Education Center-Fort Wayne,IN
Ross Medical Education Center-Portage,MI
The Commonwealth Medical College,PA
Josef's School of Hair Design Inc-Fargo West,ND
Northeast Technology Center-Claremore,OK
Salon Success Academy-Fontana,CA
Salon Success Academy-Redlands,CA
Brown Mackie College-Phoenix,AZ
Strayer University-West Virginia,WV
Strayer University-Utah,UT
Strayer University-Ohio,OH
Regency Beauty Institute-Tinley Park,IL
Regency Beauty Institute-Columbia,SC
Regency Beauty Institute-South Bend,IN
Regency Beauty Institute-Detroit Lakeside,MI
Regency Beauty Institute-Fort Myers,FL
Regency Beauty Institute-Arlington,TX
Regency Beauty Institute-Durham,NC
Minnesota School of Business-Elk River,MN
Brown Mackie College-Greenville,SC
Globe University-Sioux Falls,SD
Globe University-Eau Claire,WI
Vanguard College of Cosmetology-Baton Rouge,LA
Globe University-Minneapolis,MN
San Joaquin Valley College-Hesperia,CA
Beauty Schools of America-Homestead,FL
ATI Career Training Center-Dallas,TX
South Texas Vocational Technical Institute-Brownsville,TX
South Texas Vocational Technical Institute-Corpus Christi,TX
L'Ecole Culinaire-Memphis,TN
University of Minnesota-Rochester,MN
Health And Style Institute,NC
CBT College-Cutler Bay,FL
Provo College_American Fork,UT
National College-Columbus,OH
Kaplan Career Institute-Boston,MA
Herzing University-Toledo,OH
Capri Beauty College,IL
Milan Institute of Cosmetology-Concord,CA
Milan Institute-Bakersfield,CA
Homestead Schools,CA
Carrington College-Las Vegas,NV
Carrington College-Reno,NV
Chamberlain College of Nursing-Florida,FL
Remington College-Columbia Campus,SC
Remington College of Nursing Orlando,FL
Washington Barber College Inc,AR
InterCoast Colleges-Elk Grove,CA
Universal Barber College,AZ
Horizon University,CA
San Diego Culinary Institute,CA
Beyond 21st Century Beauty Academy,CA
Franklin Career College,CA
Academy for Jewish Religion-California,CA
Hollywood Beauty College,CA
Angeles College,CA
Angeles Institute,CA
Paul Mitchell the School-Temecula,CA
European Academy of Cosmetology and Hairdressing,CT
International Institute of Cosmetology,CT
Florida School of Traditional Midwifery,FL
Walton Career Development Center,FL
Immokalee Technical Center,FL
American Academy of Cosmetology,FL
University of Fort Lauderdale,FL
Aviation Institute of Maintenance-Orlando,FL
The Salon Professional Academy-Tampa,FL
The Salon Professional Academy-Gainesville,FL
The Salon Professional Academy-The Villages,FL
The Hair Academy Inc,GA
Profile Institute of Barber-Styling,GA
The Process Institute of Cosmetology,GA
New Hope Christian College-Honolulu,HI
D & L Academy of Hair Design,ID
Master Educators Beauty School,ID
Ambria College of Nursing,IL
Midwestern Career College,IL
Paul Mitchell the School-Normal,IL
Innovations Design Academy,IL
Aveda Fredric's Institute-Indianapolis,IN
The Salon Professional Academy-Anderson,IN
Eric Fisher Academy,KS
A & W Healthcare Educators,LA
My Le's Beauty College,LA
Blackstone Valley Vocational Regional School District,MA
Southern Worcester County Regional Voc School District,MA
L'esprit Academy,MI
Marketti Academy of Cosmetology,MI
